"Comment","Designator","Footprint","LCSC Part #"
"10uF","C1","C_0805_2012Metric","C91245"
"0.1uF","C2,C3,C8,C7","C_0805_2012Metric","C49678"
"22pF","C4,C5","C_0805_2012Metric","C1804"
"1uF","C6","C_0805_2012Metric","C28323"
"D_Small","D5,D4,D3,D2,D6,D8,D12,D11,D10,D9,D13,D14,D18,D17,D16,D15,D19,D20,D22,D21,D23,D24,D7,D1","D_SOT-23_ANK_norm","C68978"
"Polyfuse_Small","F1","Fuse_1206_3216Metric","C69688"
"5.1k","R1,R2","R_0805_2012Metric","C27834"
"22","R3,R4","R_0805_2012Metric","C17561"
"10k","R5,R6,R8,R7","R_0805_2012Metric","C17414"
"SW_Push","RESET","SW_SPST_TL3342","C318884"
"ATmega32U2-AU","U1","TQFP-32_7x7mm_P0.8mm","C618733"
"SRV05-4","U2","SOT-23-6","C85364"
"USB_C_Receptacle_USB2.0","USB1","USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Crystal_GND24_Small","X1","Crystal_SMD_3225-4Pin_3.2x2.5mm","C13738"
